id,key,value,type
9949158,source,tiger_import_dch_v0.6_20070829,tiger
9949158,reviewed,no,tiger
9949158,name_base,Spring Meadow,tiger
9949158,name_type,Ln,tiger
9949158,separated,no,tiger
9949163,name,Harness Lane,regular
9949163,highway,residential,regular
9949163,cfcc,A41,tiger
9949163,tlid,103211704:103211705:102915545:102915558,tiger
9949163,county,"Dallas, TX",tiger
9949163,source,tiger_import_dch_v0.6_20070829,tiger
9949163,reviewed,no,tiger
9949163,zip_left,75081,tiger
9949163,name_base,Harness,tiger
9949163,name_type,Ln,tiger
9949163,separated,no,tiger
9949163,zip_right,75081,tiger
9949175,name,Sandy Trail,regular
9949175,highway,residential,regular
9949175,cfcc,A41,tiger
9949175,tlid,102988803,tiger
9949175,county,"Dallas, TX",tiger
9949175,source,tiger_import_dch_v0.6_20070829,tiger
9949175,reviewed,no,tiger
9949175,zip_left,75080,tiger
9949175,name_base,Sandy,tiger
9949175,name_type,Trl,tiger
9949175,separated,no,tiger
9949175,zip_right,75080,tiger
9949259,name,Prestwick Lane,regular
9949259,highway,residential,regular
9949259,cfcc,A41,tiger
9949259,tlid,103212786:103212787,tiger
9949259,county,"Dallas, TX",tiger
9949259,source,tiger_import_dch_v0.6_20070829,tiger
9949259,reviewed,no,tiger
9949259,zip_left,75080,tiger
9949259,name_base,Prestwick,tiger
9949259,name_type,Ln,tiger
9949259,separated,no,tiger
9949259,zip_right,75080,tiger
9949311,name,Firewheel Drive,regular
9949311,highway,residential,regular
9949311,cfcc,A41,tiger
9949311,county,"Dallas, TX",tiger
9949311,reviewed,no,tiger
9949311,zip_left,75044,tiger
9949311,name_base,Firewheel,tiger
9949311,name_type,Drive,tiger
9949311,zip_right,75044,tiger
9949380,name,Nantucket Circle,regular
9949380,highway,residential,regular
9949380,cfcc,A41,tiger
9949380,county,"Dallas, TX",tiger
9949380,reviewed,no,tiger
9949380,zip_left,75080,tiger
9949380,name_base,Nantucket,tiger
9949380,name_type,Cir,tiger
9949380,zip_right,75080,tiger
