id,user,uid,version,changeset,timestamp
9966289,Richard Masoner,377053,3,7036183,2011-01-20T23:59:14Z
9966290,balrog-kun,20587,2,4350083,2010-04-06T23:43:06Z
9966366,stangoodman,224610,4,22586800,2014-05-27T18:29:48Z
9966430,balrog-kun,20587,2,4350083,2010-04-06T23:43:31Z
9966546,balrog-kun,20587,2,4350083,2010-04-06T23:43:53Z
9966630,andygol,94578,3,32161611,2015-06-23T13:32:06Z
9966920,balrog-kun,20587,2,4350083,2010-04-06T23:45:01Z
9966937,balrog-kun,20587,2,4350083,2010-04-06T23:45:04Z
9966999,balrog-kun,20587,2,4350083,2010-04-06T23:45:12Z
9967075,balrog-kun,20587,2,4350083,2010-04-06T23:45:25Z
9967195,balrog-kun,20587,2,4350083,2010-04-06T23:45:49Z
9967217,LeTopographeFou,3178375,4,45673055,2017-01-31T04:40:56Z
9967242,balrog-kun,20587,2,4350083,2010-04-06T23:45:59Z
9967424,Mara,145781,3,10864289,2012-03-04T02:33:01Z
9967596,balrog-kun,20587,2,4350083,2010-04-06T23:47:23Z
9967744,balrog-kun,20587,2,4350083,2010-04-06T23:47:55Z
9967768,Mara,145781,3,8670584,2011-07-08T23:15:01Z
9967772,phred00,3806783,4,38651579,2016-04-17T20:36:44Z
9967849,balrog-kun,20587,2,4350083,2010-04-06T23:48:15Z
9968032,Mara,145781,3,10864289,2012-03-04T02:12:15Z
9968052,balrog-kun,20587,2,4350083,2010-04-06T23:48:56Z
9968182,balrog-kun,20587,2,4350083,2010-04-06T23:49:20Z
9968236,balrog-kun,20587,2,4350083,2010-04-06T23:49:32Z
9968309,balrog-kun,20587,2,4350083,2010-04-06T23:49:48Z
9968317,balrog-kun,20587,2,4350083,2010-04-06T23:49:50Z
9968328,balrog-kun,20587,2,4350083,2010-04-06T23:49:52Z
9968454,balrog-kun,20587,2,4350083,2010-04-06T23:50:18Z
9968481,balrog-kun,20587,2,4350083,2010-04-06T23:50:33Z
9968549,balrog-kun,20587,2,4350083,2010-04-06T23:50:44Z
9968570,balrog-kun,20587,2,4350083,2010-04-06T23:50:48Z
9968590,Mara,145781,3,10864289,2012-03-04T02:33:30Z
9968619,manuela_butuc,4196259,10,40851957,2016-07-19T09:37:50Z
9968798,scottyc,496606,3,22240226,2014-05-09T21:18:20Z
9968937,LeTopographeFou,3178375,4,45673055,2017-01-31T04:40:55Z
9968966,balrog-kun,20587,2,4350083,2010-04-06T23:52:01Z
9969067,Harry Wood,1611,2,9669281,2011-10-27T15:35:14Z
9969077,balrog-kun,20587,2,4350083,2010-04-06T23:52:23Z
9969124,balrog-kun,20587,2,4350083,2010-04-06T23:52:30Z
9969324,balrog-kun,20587,2,4350083,2010-04-06T23:53:08Z
9969449,balrog-kun,20587,2,4350083,2010-04-06T23:53:31Z
9969523,balrog-kun,20587,2,4350083,2010-04-06T23:53:44Z
9969621,DaveHansenTiger,7168,1,269244,2007-10-20T23:45:42Z
9969626,balrog-kun,20587,2,4350083,2010-04-06T23:54:10Z
9969709,Mara,145781,3,5186225,2010-07-10T23:20:58Z
9969989,balrog-kun,20587,2,4350083,2010-04-06T23:55:17Z
9970038,balrog-kun,20587,2,4350083,2010-04-06T23:55:27Z
9970199,balrog-kun,20587,2,4350083,2010-04-06T23:56:05Z
9970356,balrog-kun,20587,2,4350083,2010-04-06T23:56:44Z
9970387,balrog-kun,20587,2,4350083,2010-04-06T23:56:51Z
9970394,balrog-kun,20587,2,4350083,2010-04-06T23:56:52Z
9970445,R B Rainey,2362584,3,26005622,2014-10-11T14:56:12Z
9970564,balrog-kun,20587,2,4350083,2010-04-06T23:57:25Z
9970608,DaveHansenTiger,7168,1,269244,2007-10-20T23:55:29Z
9970618,balrog-kun,20587,2,4350083,2010-04-06T23:57:36Z
9970761,andrewpmk,1679,5,31360346,2015-05-22T04:27:32Z
9970930,DaveHansenTiger,7168,1,269244,2007-10-20T23:58:58Z
9970945,stangoodman,224610,3,22581777,2014-05-27T13:08:51Z
9971044,balrog-kun,20587,2,4350083,2010-04-06T23:59:10Z
9971054,balrog-kun,20587,2,4350083,2010-04-06T23:59:12Z
9971111,Mara,145781,3,10896169,2012-03-07T02:09:24Z
9971114,Mara,145781,3,10896169,2012-03-07T02:09:25Z
9971168,balrog-kun,20587,2,4350083,2010-04-06T23:59:34Z
9971209,claysmalley,119881,7,45698975,2017-01-31T21:56:50Z
9971258,balrog-kun,20587,2,4350083,2010-04-06T23:59:50Z
9971259,jazztunes,581419,4,12799406,2012-08-20T18:30:02Z
9971326,amanda134,4914994,4,44125175,2016-12-02T21:51:45Z
9971533,balrog-kun,20587,2,4350083,2010-04-07T00:00:46Z
9971547,Luis36995,1829683,6,44008892,2016-11-28T15:02:14Z
9971591,R B Rainey,2362584,3,26005622,2014-10-11T14:56:09Z
9971621,balrog-kun,20587,2,4350083,2010-04-07T00:01:10Z
9971636,balrog-kun,20587,2,4350083,2010-04-07T00:01:13Z
9971655,balrog-kun,20587,2,4350083,2010-04-07T00:01:18Z
9971795,annief,3735499,7,37985396,2016-03-21T20:13:50Z
9971796,Stephen214,4018842,10,43045851,2016-10-20T21:58:20Z
9971799,annief,3735499,9,37985396,2016-03-21T20:13:50Z
9971854,scottyc,496606,4,22197411,2014-05-07T20:48:55Z
9971899,andrewpmk,1679,4,31360346,2015-05-22T04:27:31Z
9971910,andrewpmk,1679,3,31272878,2015-05-19T03:22:57Z
9972084,ToffeHoff,7203,3,6903675,2011-01-08T13:34:11Z
9972135,balrog-kun,20587,2,4350083,2010-04-07T00:03:11Z
9972164,balrog-kun,20587,2,4350083,2010-04-07T00:03:17Z
9972314,Stephen214,4018842,6,43096079,2016-10-23T09:35:28Z
9972356,R B Rainey,2362584,3,25876921,2014-10-05T14:23:09Z
9972362,scottyc,496606,2,22216857,2014-05-08T19:24:07Z
9972409,balrog-kun,20587,2,4350083,2010-04-07T00:04:12Z
9972421,wvdp,436419,8,36341828,2016-01-03T16:34:41Z
9972643,balrog-kun,20587,2,4350083,2010-04-07T00:05:04Z
9972663,balrog-kun,20587,3,4350083,2010-04-07T00:05:08Z
9972858,balrog-kun,20587,2,4350083,2010-04-07T00:05:48Z
9973007,balrog-kun,20587,2,4350083,2010-04-07T00:06:29Z
9973064,balrog-kun,20587,2,4350083,2010-04-07T00:06:43Z
9973114,balrog-kun,20587,2,4350083,2010-04-07T00:06:52Z
9973146,jazztunes,581419,3,12799406,2012-08-20T18:30:01Z
9973154,scottyc,496606,3,22240226,2014-05-09T21:18:23Z
9973228,LeTopographeFou,3178375,5,45673055,2017-01-31T04:40:52Z
9973403,balrog-kun,20587,2,4350083,2010-04-07T00:07:59Z
9973432,balrog-kun,20587,2,4350083,2010-04-07T00:08:05Z
9973439,saikabhi,3029661,10,39426598,2016-05-19T14:49:35Z
9973512,stangoodman,224610,8,22582870,2014-05-27T14:29:28Z
